element	line	kV	intensity	limit
Ag	Lγ3	3.754	0.05	0.0
Te	Lα1	3.77	0.9	0.2
Sb	Lβ1	3.843	0.5	0.2
Sb	Lβ4	3.884	0.2	0.2
Sb	Lβ3	3.932	0.48	0.2
I	Lα1	3.938	0.9	0.2
Ba	Ll	3.954	0.1	0.0
Ca	Kβ1	4.013	0.2	0.2
Te	Lβ1	4.03	0.5	0.2
Te	Lβ4	4.069	0.2	0.2
Sc	Kα2	4.086	0.52	0.2
Sc	Kα1	4.09	1.0	0.2
Xe	Lα1	4.11	0.9	0.2
Te	Lβ3	4.12	0.48	0.2
I	Lβ1	4.221	0.5	0.2
I	Lβ4	4.257	0.2	0.2
Cs	Lα1	4.289	0.9	0.2
I	Lβ3	4.313	0.48	0.2
Xe	Lβ1	4.415	0.5	0.2
Ba	Lα2	4.45	0.1	0.0
Xe	Lβ4	4.453	0.2	0.2
Sc	Kβ1	4.461	0.2	0.2
Ba	Lα1	4.47	0.9	0.0
Ti	Kα2	4.505	0.52	0.2
Ti	Kα1	4.511	1.0	0.2
Xe	Lβ3	4.516	0.48	0.2
Cs	Lβ1	4.619	0.5	0.2
La	Lα1	4.651	0.9	0.2
Cs	Lβ4	4.652	0.2	0.2
Cs	Lβ3	4.719	0.48	0.2
Ba	Lβ1	4.827	0.5	0.0
Ce	Lα1	4.839	0.9	0.2
Ba	Lβ4	4.853	0.2	0.0
Ba	Lβ3	4.928	0.48	0.0
Ti	Kβ1	4.932	0.2	0.2
V	Kα2	4.944	0.52	0.2
V	Kα1	4.952	1.0	0.2
Pr	Lα1	5.034	0.9	0.2
La	Lβ1	5.037	0.5	0.2
La	Lβ4	5.062	0.2	0.2
La	Lβ3	5.143	0.48	0.2
Ba	Lβ2	5.158	0.05	0.0
Nd	Lα1	5.231	0.9	0.2
Ce	Lβ1	5.261	0.5	0.2
Ce	Lβ4	5.276	0.2	0.2
Ce	Lβ3	5.364	0.48	0.2
Cr	Kα2	5.405	0.52	0.2
Cr	Kα1	5.415	1.0	0.2
V	Kβ1	5.427	0.2	0.2
Pm	Lα1	5.433	0.9	0.2
Pr	Lβ1	5.485	0.5	0.2
Pr	Lβ4	5.497	0.2	0.2
Ba	Lγ1	5.529	0.05	0.0
Pr	Lβ3	5.592	0.48	0.2
Sm	Lα1	5.635	0.9	0.2
Nd	Lβ1	5.722	0.5	0.2
Nd	Lβ4	5.723	0.2	0.2
Ba	Lγ3	5.82	0.05	0.0
Nd	Lβ3	5.829	0.48	0.2
Eu	Lα1	5.843	0.9	0.2
Mn	Kα2	5.888	0.52	0.2
Mn	Kα1	5.899	1.0	0.2
Cr	Kβ1	5.947	0.2	0.2
Pm	Lβ4	5.959	0.2	0.2
Pm	Lβ1	5.962	0.5	0.2
Gd	Lα1	6.058	0.9	0.2
Pm	Lβ3	6.071	0.48	0.2
Sm	Lβ4	6.195	0.2	0.2
Sm	Lβ1	6.205	0.5	0.2
Tb	Lα1	6.273	0.9	0.2
Sm	Lβ3	6.319	0.48	0.2
Fe	Kα2	6.391	0.52	0.2
Fe	Kα1	6.404	1.0	0.2
Eu	Lβ4	6.44	0.2	0.2
Eu	Lβ1	6.455	0.5	0.2
Mn	Kβ1	6.49	0.2	0.2
Dy	Lα1	6.496	0.9	0.2
Eu	Lβ3	6.574	0.48	0.2
Gd	Lβ4	6.69	0.2	0.2
Gd	Lβ1	6.713	0.5	0.2
Ho	Lα1	6.719	0.9	0.2
Gd	Lβ3	6.832	0.48	0.2
Co	Kα2	6.915	0.52	0.2
Co	Kα1	6.93	1.0	0.2
Tb	Lβ4	6.942	0.2	0.2
Er	Lα1	6.951	0.9	0.2
Tb	Lβ1	6.976	0.5	0.2
Fe	Kβ1	7.058	0.2	0.2
Tb	Lβ3	7.096	0.48	0.2
Tm	Lα1	7.181	0.9	0.2
Dy	Lβ4	7.208	0.2	0.2
Dy	Lβ1	7.249	0.5	0.2
Dy	Lβ3	7.371	0.48	0.2
Yb	Lα1	7.415	0.9	0.2
Ni	Kα2	7.461	0.52	0.2
Ni	Kα1	7.478	1.0	0.2
Ho	Lβ4	7.479	0.2	0.2
Ho	Lβ1	7.529	0.5	0.2
Co	Kβ1	7.649	0.2	0.2
Ho	Lβ3	7.65	0.48	0.2
Lu	Lα1	7.655	0.9	0.2
Er	Lβ4	7.752	0.2	0.2
Er	Lβ1	7.813	0.5	0.2
Hf	Lα1	7.891	0.9	0.2
Er	Lβ3	7.942	0.48	0.2
Tm	Lβ4	8.026	0.2	0.2
Cu	Kα2	8.028	0.52	0.2
Cu	Kα1	8.048	1.0	0.2
Tm	Lβ1	8.103	0.5	0.2
Ta	Lα1	8.147	0.9	0.2
Tm	Lβ3	8.236	0.48	0.2
Ni	Kβ1	8.265	0.2	0.2
Yb	Lβ4	8.314	0.2	0.2
W	Lα1	8.396	0.9	0.2
Yb	Lβ1	8.402	0.5	0.2
Au	Ll	8.494	0.1	0.0
Yb	Lβ3	8.531	0.48	0.2
Lu	Lβ4	8.607	0.2	0.2
Zn	Kα2	8.616	0.52	0.2
Zn	Kα1	8.639	1.0	0.2
Re	Lα1	8.651	0.9	0.2
Lu	Lβ1	8.709	0.5	0.2
Hg	Ll	8.722	0.1	0.0
Lu	Lβ3	8.844	0.48	0.2
Hf	Lβ4	8.896	0.2	0.2
Cu	Kβ1	8.905	0.2	0.2
Os	Lα1	8.905	0.9	0.2
Hf	Lβ1	9.016	0.5	0.2
Hf	Lβ3	9.153	0.48	0.2
Ir	Lα1	9.175	0.9	0.2
Pb	Ll	9.185	0.1	0.0
Ta	Lβ4	9.213	0.2	0.2
Ga	Kα2	9.231	0.52	0.2
Ga	Kα1	9.252	1.0	0.2
Ta	Lβ1	9.345	0.5	0.2
Pt	Lα1	9.439	0.9	0.2
Ta	Lβ3	9.488	0.48	0.2
W	Lβ4	9.526	0.2	0.2
Zn	Kβ1	9.572	0.2	0.2
Au	Lα2	9.618	0.1	0.0
W	Lβ1	9.671	0.5	0.2
Au	Lα1	9.705	0.9	0.0
W	Lβ3	9.819	0.48	0.2
Re	Lβ4	9.846	0.2	0.2
Ge	Kα2	9.856	0.52	0.2
Ge	Kα1	9.887	1.0	0.2
Hg	Lα2	9.898	0.1	0.0
Hg	Lα1	9.999	0.9	0.0
Re	Lβ1	10.006	0.5	0.2
Re	Lβ3	10.161	0.48	0.2
Os	Lβ4	10.176	0.2	0.2
Ga	Kβ1	10.271	0.2	0.2
Tl	Lα1	10.271	0.9	0.2
Os	Lβ1	10.349	0.5	0.2
Pb	Lα2	10.453	0.1	0.0
Ir	Lβ4	10.508	0.2	0.2
As	Kα2	10.509	0.52	0.2
Os	Lβ3	10.515	0.48	0.2
As	Kα1	10.544	1.0	0.2
Pb	Lα1	10.555	0.9	0.0
Ir	Lβ1	10.705	0.5	0.2
Bi	Lα1	10.836	0.9	0.2
Pt	Lβ4	10.844	0.2	0.2
Ir	Lβ3	10.865	0.48	0.2
Ge	Kβ1	10.983	0.2	0.2
Pt	Lβ1	11.073	0.5	0.2
Po	Lα1	11.131	0.9	0.2
Se	Kα2	11.181	0.52	0.2
Au	Lβ4	11.204	0.2	0.0
Se	Kα1	11.222	1.0	0.2
Pt	Lβ3	11.231	0.48	0.2
At	Lα1	11.427	0.9	0.2
Au	Lβ1	11.432	0.5	0.0
Hg	Lβ4	11.548	0.2	0.0
Au	Lβ2	11.585	0.05	0.0
Au	Lβ3	11.609	0.48	0.0
Rn	Lα1	11.727	0.9	0.2
As	Kβ1	11.727	0.2	0.2
Hg	Lβ1	11.823	0.5	0.0
Br	Kα2	11.878	0.52	0.2
Br	Kα1	11.924	1.0	0.2
Hg	Lβ2	11.927	0.05	0.0
Hg	Lβ3	11.987	0.48	0.0
Fr	Lα1	12.031	0.9	0.2
Tl	Lβ4	12.196	0.2	0.2
Tl	Lβ1	12.217	0.5	0.2
Pb	Lβ4	12.305	0.2	0.0
Ra	Lα1	12.34	0.9	0.2
Se	Kβ1	12.496	0.2	0.2
Kr	Kα2	12.598	0.52	0.2
Pb	Lβ1	12.618	0.5	0.0
Pb	Lβ2	12.625	0.05	0.0
Kr	Kα1	12.65	1.0	0.2
Ac	Lα1	12.652	0.9	0.2
Bi	Lβ4	12.682	0.2	0.2
Pb	Lβ3	12.791	0.48	0.0
Th	Lα1	12.97	0.9	0.2
Bi	Lβ1	13.031	0.5	0.2
Po	Lβ4	13.077	0.2	0.2
Bi	Lβ3	13.205	0.48	0.2
Br	Kβ1	13.292	0.2	0.2
Pa	Lα1	13.3	0.9	0.2
Rb	Kα2	13.336	0.52	0.2
Au	Lγ1	13.383	0.05	0.0
Tl	Lβ3	13.387	0.48	0.2
Rb	Kα1	13.396	1.0	0.2
Po	Lβ1	13.452	0.5	0.2
At	Lβ4	13.487	0.2	0.2
U	Lα1	13.614	0.9	0.2
Po	Lβ3	13.628	0.48	0.2
Au	Lγ3	13.806	0.05	0.0
Hg	Lγ1	13.834	0.05	0.0
At	Lβ1	13.882	0.5	0.2
Rn	Lβ4	13.891	0.2	0.2
At	Lβ3	14.067	0.48	0.2
Sr	Kα2	14.098	0.52	0.2
Kr	Kβ1	14.113	0.2	0.2
Sr	Kα1	14.166	1.0	0.2
Hg	Lγ3	14.258	0.05	0.0
Fr	Lβ4	14.306	0.2	0.2
Rn	Lβ1	14.323	0.5	0.2
Rn	Lβ3	14.511	0.48	0.2
Ra	Lβ4	14.745	0.2	0.2
Pb	Lγ1	14.769	0.05	0.0
Fr	Lβ1	14.775	0.5	0.2
Y	Kα2	14.882	0.52	0.2
Y	Kα1	14.958	1.0	0.2
Rb	Kβ1	14.962	0.2	0.2
Fr	Lβ3	14.976	0.48	0.2
Ac	Lβ4	15.186	0.2	0.2
Pb	Lγ3	15.222	0.05	0.0
Ra	Lβ1	15.238	0.5	0.2
Ra	Lβ3	15.443	0.48	0.2
Th	Lβ4	15.639	0.2	0.2
Zr	Kα2	15.692	0.52	0.2
Ac	Lβ1	15.711	0.5	0.2
Zr	Kα1	15.77	1.0	0.2
Sr	Kβ1	15.836	0.2	0.2
Ac	Lβ3	15.931	0.48	0.2
Pa	Lβ4	16.095	0.2	0.2
Th	Lβ1	16.215	0.5	0.2
Th	Lβ3	16.419	0.48	0.2
Nb	Kα2	16.521	0.52	0.2
U	Lβ4	16.575	0.2	0.2
Nb	Kα1	16.615	1.0	0.2
Pa	Lβ1	16.715	0.5	0.2
Y	Kβ1	16.737	0.2	0.2
Pa	Lβ3	16.924	0.48	0.2
U	Lβ1	17.219	0.5	0.2
Mo	Kα2	17.374	0.52	0.2
U	Lβ3	17.454	0.48	0.2
Mo	Kα1	17.479	1.0	0.2
Zr	Kβ1	17.662	0.2	0.2
Tc	Kα2	18.251	0.52	0.2
Tc	Kα1	18.367	1.0	0.2
Nb	Kβ1	18.623	0.2	0.2
Ru	Kα2	19.15	0.52	0.2
Ru	Kα1	19.279	1.0	0.2
Mo	Kβ1	19.608	0.2	0.2
Rh	Kα2	20.073	0.52	0.0
Rh	Kα1	20.216	1.0	0.0
Tc	Kβ1	20.619	0.2	0.2
Pd	Kα2	21.021	0.52	0.2
Pd	Kα1	21.178	1.0	0.2
Ru	Kβ1	21.656	0.2	0.2
Ag	Kα2	21.991	0.52	0.0
Ag	Kα1	22.163	1.0	0.0
Rh	Kβ3	22.698	0.1	0.0
Rh	Kβ1	22.723	0.2	0.0
Cd	Kα2	22.985	0.52	0.2
Cd	Kα1	23.173	1.0	0.2
Rh	Kβ2	23.173	0.03	0.0
Pd	Kβ1	23.819	0.2	0.2
In	Kα2	24.002	0.52	0.2
In	Kα1	24.209	1.0	0.2
Ag	Kβ3	24.912	0.1	0.0
Ag	Kβ1	24.943	0.2	0.0
Sn	Kα2	25.044	0.52	0.2
Sn	Kα1	25.272	1.0	0.2
Ag	Kβ2	25.463	0.03	0.0
Cd	Kβ1	26.095	0.2	0.2
Sb	Kα2	26.11	0.52	0.2
Sb	Kα1	26.359	1.0	0.2
Te	Kα2	27.201	0.52	0.2
In	Kβ1	27.275	0.2	0.2
Te	Kα1	27.472	1.0	0.2
I	Kα2	28.317	0.52	0.2
Sn	Kβ1	28.491	0.2	0.2
I	Kα1	28.612	1.0	0.2
Xe	Kα2	29.459	0.52	0.2
Sb	Kβ1	29.725	0.2	0.2
Xe	Kα1	29.779	1.0	0.2
Cs	Kα2	30.625	0.52	0.2
Cs	Kα1	30.973	1.0	0.2
Te	Kβ1	30.995	0.2	0.2
Ba	Kα2	31.817	0.52	0.0
Ba	Kα1	32.194	1.0	0.0
I	Kβ1	32.295	0.2	0.2
La	Kα2	33.034	0.52	0.2
La	Kα1	33.442	1.0	0.2
Xe	Kβ1	33.625	0.2	0.2
Ce	Kα2	34.279	0.52	0.2
Ce	Kα1	34.72	1.0	0.2
Cs	Kβ1	34.985	0.2	0.2
Pr	Kα2	35.55	0.52	0.2
Pr	Kα1	36.026	1.0	0.2
Ba	Kβ3	36.303	0.1	0.0
Ba	Kβ1	36.378	0.2	0.0
Nd	Kα2	36.847	0.52	0.2
Ba	Kβ2	37.27	0.03	0.0
Nd	Kα1	37.361	1.0	0.2
La	Kβ1	37.802	0.2	0.2
Pm	Kα2	38.171	0.52	0.2
Pm	Kα1	38.725	1.0	0.2
Ce	Kβ1	39.258	0.2	0.2
Sm	Kα2	39.523	0.52	0.2
Sm	Kα1	40.118	1.0	0.2
Pr	Kβ1	40.748	0.2	0.2
Eu	Kα2	40.902	0.52	0.2
Eu	Kα1	41.542	1.0	0.2
Nd	Kβ1	42.272	0.2	0.2
Gd	Kα2	42.309	0.52	0.2
Gd	Kα1	42.996	1.0	0.2
Tb	Kα2	43.744	0.52	0.2
Pm	Kβ1	43.825	0.2	0.2
Tb	Kα1	44.481	1.0	0.2
Dy	Kα2	45.208	0.52	0.2
Sm	Kβ1	45.413	0.2	0.2
Dy	Kα1	45.999	1.0	0.2
Ho	Kα2	46.699	0.52	0.2
Eu	Kβ1	47.036	0.2	0.2
Ho	Kα1	47.547	1.0	0.2
Er	Kα2	48.221	0.52	0.2
Gd	Kβ1	48.696	0.2	0.2
Er	Kα1	49.128	1.0	0.2
Tm	Kα2	49.773	0.52	0.2
